Linkname,Link
computer science department ,http://www.git.edu/computer-science-and-engineering/
information science department,http://www.git.edu/information-science-and-engineering/
mechanical department,http://www.git.edu/mechanical-engineering/
civil department,http://www.git.edu/civil-engineering/
electronics and electrical department,http://www.git.edu/electronics-and-communication-engineering/
ec department,http://www.git.edu/electronics-and-communication-engineering/
eee department,http://www.git.edu/electrical-and-electronics-engineering/
aeronotical department,http://www.git.edu/aeronautical-engineering/
academics,http://www.git.edu/academics/
about kls git,http://klsbelgaum.org/
proffesor prashant computer science department,http://www.git.edu/wp-content/uploads/2016/02/pyn.pdf
Head of   department computer science,http://www.git.edu/wp-content/uploads/2015/04/vsr.pdf
proffesor rashmi computer science department,http://www.git.edu/wp-content/uploads/2015/04/rmj.pdf
